treeID,Z,npoints,convhull_area,area,perimeter
1,36.05,168,69.268,69.2678500005277,35.9297264442808
2,34.47,18,7.79,7.79005000030156,11.5857900778212
3,34.27,43,15.852,15.852300000377,19.440024884477
4,34.15,12,2.027,2.02744999993593,7.05085684160923
5,33.94,81,30.753,30.7528000004822,21.2498862331105
6,33.88,58,19.98,19.9803999997675,17.5973246521933
7,33.87,14,2.933,2.93345000012778,8.9582836064672
8,33.74,131,47.202,47.2019500001334,26.6588346091031
9,33.66,47,18.864,18.8640000002924,18.2790772358986
10,33.59,154,63.719,63.7187500001164,31.362279057227
11,33.55,23,4.638,4.63800000026822,9.82558350821905
12,33.54,48,25.973,25.972949999501,20.5575571723076
13,33.52,49,30.289,30.2887999999803,21.7572599645339
14,33.41,30,6.037,6.0371499999892,9.71413362568057
15,33.37,106,39.405,39.4049999989802,23.4643217506674
16,33.34,124,43.26,43.2601499995217,27.1788095804345
17,33.34,9,1.043,1.0430500000366,4.7414566167225
18,33.32,43,20.067,20.0673999999417,18.1444721737342
19,33.21,13,3.06,3.06035000015981,6.86846126614659
20,33.14,106,14.647,14.646699999983,14.4717000876049
21,33.12,281,126.927,126.92669999972,42.3289491886503
22,33.01,50,15.529,15.5291999999899,16.7598363576866
23,33,175,61.896,61.8959999989602,30.3122220512391
24,32.98,20,5.97,5.97029999986989,11.3399502849644
25,32.94,222,46.595,46.5947999998461,26.8235670672882
26,32.94,71,56.258,56.2581499996595,33.1509368790995
27,32.93,39,9.449,9.44890000030864,12.6354733838663
28,32.92,63,26.718,26.7178500001319,20.1857956701681
29,32.91,182,101.709,101.709299999638,40.3666819179037
30,32.89,113,57.45,57.4505000002682,34.6187665050594
31,32.86,89,44.55,44.5502999997698,24.6592431355735
32,32.85,183,57.022,57.0224499993492,34.3841787364193
33,32.83,60,15.953,15.9534999995958,18.8964117352819
34,32.81,47,9.887,9.88669999982812,13.0313887216903
35,32.78,22,8.718,8.718349999981,11.2262995890257
36,32.72,29,10.203,10.2030499995453,14.3765568195791
37,32.7,136,27.019,27.0186500002164,19.9306639030666
38,32.68,6,0.587,0.586699999941629,4.88365415743004
39,32.67,108,54.391,54.3905499991961,30.2184266037341
40,32.66,229,46.727,46.7272499999963,26.9503704981373
41,32.65,4,0.21,0.210300000020652,2.43417806858617
42,32.62,94,18.234,18.2343499998096,16.7655599945237
43,32.56,30,6.549,6.54920000000857,10.1611993555179
44,32.54,51,17.382,17.3815499995835,16.4709135568734
45,32.54,141,45.993,45.9929499998689,26.8462166028396
46,32.52,41,16.005,16.0049500000896,15.7941705515259
47,32.52,25,6.223,6.22335000021849,10.3783522722221
48,32.52,26,7.963,7.96250000037253,11.395595453905
49,32.51,31,8.6,8.59994999994524,11.3973964230931
50,32.49,15,2.915,2.91519999993034,7.94676138295353
51,32.47,41,3.686,3.6863500000909,7.60973955334797
52,32.47,48,17.63,17.6300500000361,15.7487607176466
53,32.46,16,3.26,3.25985000003129,7.29255816765701
54,32.45,42,19.377,19.376750000054,17.456014600939
55,32.43,108,19.984,19.9837000003317,17.3226478674255
56,32.42,181,30.945,30.9446499999613,21.2188214042151
57,32.42,36,4.435,4.43480000027921,8.36685056616058
58,32.41,77,21.668,21.6682999996701,18.9983189050829
60,32.4,120,43.834,43.8341499991948,25.2322821969634
61,32.4,19,2.466,2.46625000017229,6.82878090936788
62,32.39,78,20.53,20.5302999997512,17.3954296441207
63,32.36,44,6.973,6.97265000012703,11.2896413898188
64,32.34,126,39.087,39.0869999998831,23.940118381169
65,32.33,85,24.199,24.1993000002112,19.9872308461298
66,32.3,116,29.71,29.7102500002366,21.2189969376871
67,32.29,89,27.282,27.2820999996038,20.8011227493105
68,32.29,207,66.082,66.0823999997228,32.3797183527452
69,32.28,85,20.62,20.6204500000167,18.127083974823
70,32.28,511,157.981,157.980949999619,48.1832435692762
71,32.27,150,43.283,43.2833500010893,29.9579139458606
72,32.25,23,4.649,4.64869999990333,8.29205614791474
73,32.25,123,24.691,24.6914999994915,19.3778452115979
74,32.21,12,1.768,1.76825000008103,6.98099408486882
75,32.18,17,3.302,3.30155000009108,7.61379053544332
76,32.11,47,18.825,18.8245500006014,17.2373694248329
77,32.1,64,10.854,10.8538500000723,12.3662827873294
78,32.06,12,2.623,2.62335000024177,7.0601894448185
79,32.05,10,1.906,1.9057500003837,5.97500605135159
80,32.04,137,28.433,28.43290000048,20.5779999188202
81,32.03,33,3.631,3.63145000010263,7.83790817894644
82,32.03,58,26.247,26.247349999845,20.4821819140637
83,32.02,55,17.499,17.498499999987,15.8454761380312
84,32.01,21,3.244,3.24354999983916,6.9678104630849
85,32,84,25.126,25.1262499999721,21.1426967686935
86,32,54,22.312,22.3115000003017,21.1139781291946
87,31.99,91,47.663,47.663300000364,27.8264732536088
88,31.97,102,51.951,51.9514500002842,29.4294529604491
89,31.96,101,27.959,27.9591999999247,20.6323597171783
90,31.95,140,46.031,46.0307999998331,26.1330522949635
91,31.94,40,7.826,7.82565000012983,10.6598815532289
92,31.92,95,29.452,29.4517500007059,21.1058584601672
93,31.9,24,6.831,6.83079999976326,10.8458157707819
94,31.88,28,5.332,5.33215000014752,9.24713429534244
95,31.86,78,18.978,18.9778499999084,18.0141185184963
96,31.85,51,20.019,20.0190499997698,19.1256682921913
97,31.82,22,3.967,3.96724999998696,8.80475199937039
98,31.81,94,35.553,35.553299999563,26.1072769265904
99,31.8,98,45.758,45.7583500002511,27.832374311243
100,31.8,215,58.782,58.7824499994749,29.7552910033884
101,31.78,53,19.544,19.5435999997426,17.8988200960601
102,31.78,142,63.845,63.8452500005951,32.1057812157998
103,31.77,75,22.521,22.5210999996634,18.5240962793803
104,31.77,15,2.444,2.44385000003967,6.07336324361207
105,31.76,191,35.793,35.7925999996951,23.6735500448147
106,31.75,277,142.03,142.030350000132,47.0683387074607
107,31.73,123,54.022,54.0223500002176,32.7367601846885
108,31.72,11,3.519,3.51934999995865,7.8107974713001
109,31.72,27,3.128,3.12775000013062,7.51050953182949
110,31.72,34,15.598,15.5981499999762,16.6871640883154
111,31.71,152,20.587,20.586750000366,16.988008895059
112,31.71,14,2.341,2.34055000008084,6.19850537690768
113,31.68,62,31.015,31.0151500003412,21.5491602440174
114,31.67,72,16.834,16.8340500001796,15.6851932177108
115,31.65,20,6.906,6.90614999993704,11.1796818918908
116,31.65,16,2.067,2.06680000014603,7.09000560871487
117,31.65,33,14.473,14.4725999996881,16.2291223610592
118,31.65,71,25.331,25.3315000003204,24.1159163786679
119,31.64,309,100.377,100.376750000578,38.3690264680025
