"","treeID","V1","coords.x1","coords.x2","coords.x3","optional"
"2985",3184,15.39,574101.12,300309.46,15.39,TRUE
"2986",3185,15.39,574128.8,300312.63,15.39,TRUE
"2987",3186,15.38,574123.42,300284.74,15.38,TRUE
"2988",3187,15.38,574192.17,300324.77,15.38,TRUE
"2989",3188,15.38,574163.75,300309.11,15.38,TRUE
"2990",3189,15.38,574119.23,300389.33,15.38,TRUE
"2991",3190,15.37,574030.68,300358.13,15.37,TRUE
"2992",3191,15.37,574024,300355.75,15.37,TRUE
"2993",3192,15.37,574110.39,300300.12,15.37,TRUE
"2994",3193,15.37,574089.69,300364.49,15.37,TRUE
"2995",3194,15.36,574076.43,300301.2,15.36,TRUE
"2996",3195,15.36,574195.94,300371.38,15.36,TRUE
"2997",3196,15.36,574143.83,300341.94,15.36,TRUE
"2998",3197,15.36,574064.63,300327.08,15.36,TRUE
"2999",3198,15.35,574115.12,300319.04,15.35,TRUE
"3000",3199,15.35,574073.74,300448.23,15.35,TRUE
"3001",3200,15.35,574133.48,300281.89,15.35,TRUE
"3002",3201,15.35,574084.11,300311.73,15.35,TRUE
"3003",3202,15.35,574120.74,300297.14,15.35,TRUE
"3004",3203,15.35,574074.8,300318.39,15.35,TRUE
"3005",3204,15.35,574157,300303.76,15.35,TRUE
"3006",3205,15.35,574099.65,300306.91,15.35,TRUE
"3007",3206,15.34,574196.89,300369.76,15.34,TRUE
"3008",3207,15.34,574119.97,300344.01,15.34,TRUE
"3009",3208,15.34,574018.07,300356.29,15.34,TRUE
"3010",3209,15.34,574098.74,300303.62,15.34,TRUE
"3011",3210,15.33,574009.01,300365.61,15.33,TRUE
"3012",3211,15.33,574003.11,300350.14,15.33,TRUE
"3013",3212,15.33,574094.21,300377.68,15.33,TRUE
"3014",3213,15.32,574067.86,300359.31,15.32,TRUE
"3015",3214,15.31,574022.85,300346.65,15.31,TRUE
"3016",3215,15.3,574109.01,300294.36,15.3,TRUE
"3017",3216,15.3,574050.8,300349.94,15.3,TRUE
"3018",3217,15.3,574160.87,300337.45,15.3,TRUE
"3019",3218,15.3,574144.18,300417.9,15.3,TRUE
"3020",3219,15.29,574128.5,300275.35,15.29,TRUE
"3021",3220,15.29,574048.04,300338.63,15.29,TRUE
"3022",3222,15.29,574133.26,300348.22,15.29,TRUE
"3023",3223,15.29,574103.73,300353.13,15.29,TRUE
"3024",3224,15.29,574181.32,300342.8,15.29,TRUE
"3025",3226,15.28,574149.2,300318.69,15.28,TRUE
"3026",3227,15.28,574163.24,300345.45,15.28,TRUE
"3027",3228,15.28,574161.29,300308,15.28,TRUE
"3028",3229,15.27,574186.41,300362.71,15.27,TRUE
"3029",3230,15.27,574173.32,300306.26,15.27,TRUE
"3030",3231,15.26,574198.5,300379.18,15.26,TRUE
"3031",3232,15.26,574177.23,300333.69,15.26,TRUE
"3032",3233,15.26,574147.65,300417.65,15.26,TRUE
"3033",3234,15.24,574095.03,300378.51,15.24,TRUE
"3034",3235,15.24,574122.51,300340.8,15.24,TRUE
"3035",3236,15.24,574098.65,300308.1,15.24,TRUE
"3036",3237,15.24,574085.79,300451,15.24,TRUE
"3037",3238,15.23,574116.43,300291.27,15.23,TRUE
"3038",3239,15.23,574015.79,300357.48,15.23,TRUE
"3039",3240,15.23,574051.65,300340.46,15.23,TRUE
"3040",3242,15.23,574168.72,300320.18,15.23,TRUE
"3041",3243,15.23,574134.58,300270.7,15.23,TRUE
"3042",3244,15.22,574089.38,300462.62,15.22,TRUE
"3043",3246,15.21,574131.08,300273.44,15.21,TRUE
"3044",3247,15.21,574133.07,300272.96,15.21,TRUE
"3045",3248,15.2,574094.89,300294.9,15.2,TRUE
"3046",3249,15.2,574140.24,300284.64,15.2,TRUE
"3047",3250,15.2,574207.47,300374.37,15.2,TRUE
"3048",3251,15.2,574104.94,300277.59,15.2,TRUE
"3049",3252,15.2,574045.71,300423.84,15.2,TRUE
"3050",3253,15.19,574016.76,300352.29,15.19,TRUE
"3051",3254,15.19,574096.25,300301.92,15.19,TRUE
"3052",3255,15.17,574062.25,300328.3,15.17,TRUE
