treeID,Z,npoints,convhull_area,area,perimeter
269,23.9627,11665,168.025,168.025105863344,49.7546934140988
338,23.0179,4655,87.249,87.2493986257105,37.064167287144
339,22.9438,3539,77.787,77.7873168317601,33.955768156594
391,22.3907,3778,44.068,44.0683423255687,25.4413129430045
400,22.2926,4348,108.399,108.399270065129,40.824379366574
429,21.8905,1626,27.121,27.1209616247797,19.6593311333737
438,21.7175,5308,54.606,54.6057820692658,27.6246046793353
442,21.6998,5980,122.328,122.32811788877,42.2636533005354
448,21.6459,4704,53.499,53.498850160453,27.4693010186182
468,21.505,5124,138.481,138.480934966821,48.8246597137026
471,21.4711,7551,141.705,141.705257095949,46.0839186220998
480,21.4109,1399,25.547,25.5468181293691,18.6729910749584
493,21.277,3633,33.735,33.7346703947987,23.2612265188867
495,21.2729,2126,35.164,35.163956379809,23.2949972565316
512,21.1472,10876,209.014,209.014443465509,53.9481420202566
521,21.0624,5290,179.387,179.387213214766,51.5276175664761
523,21.0442,387,4.704,4.70438443496823,9.01418015869468
528,20.9896,3219,52.761,52.7609010502638,28.2621812324377
565,20.7499,3513,152.771,152.770839039702,48.8585079635139
637,20.3214,283,3.776,3.77583335473901,7.64327736642409
645,20.2872,1341,18.259,18.2592967099044,16.9502964534092
656,20.2519,7229,118.841,118.84147801972,40.6860586585102
660,20.2301,1133,9.765,9.76507268990099,12.2889781406661
670,20.1635,5710,48.307,48.3068553551566,28.025856516814
683,20.0718,7663,161.389,161.389162770996,47.3691540681292
686,20.0449,1520,28.771,28.7705995547585,20.4288409296578
688,20.0289,10516,61.866,61.8663774109446,30.8685875524429
691,20.0123,4802,121.009,121.008612011094,42.1532954080504
720,19.8065,22916,106.472,106.47167580016,39.5953752993442
721,19.7931,4545,105.401,105.401009012014,40.4453134940275
742,19.6864,1275,5.512,5.51247942983173,8.78941614479232
747,19.6736,11726,84.859,84.8592057989445,34.381744939371
774,19.4959,3894,172.406,172.405545594433,50.0532274590827
780,19.4566,2270,25.482,25.4823098297929,19.9927896603249
782,19.4476,3025,13.573,13.5728094150836,16.6971318280859
791,19.4162,3368,22.103,22.1031283552293,18.019272780293
849,19.1486,3324,58.256,58.25589893898,29.8164593529935
878,19.0031,3704,145.926,145.925955538529,47.0638114985268
890,18.973,3269,46.172,46.1719842355233,25.3888327312307
916,18.8791,9766,114.455,114.455424579792,42.0062440168019
935,18.8122,4979,66.243,66.2429776203353,31.0109416999194
941,18.7869,5834,140.98,140.979894593998,46.2355241892842
963,18.6857,2280,19.902,19.9016580700991,16.6051084325822
967,18.6766,6519,212.687,212.687353934249,56.429236655303
1063,18.3162,3249,33.516,33.5155764155206,22.7923966410843
1090,18.2247,5527,52.375,52.3750987094827,28.6912296969636
1104,18.1877,6148,52.203,52.2030641853344,27.6832433840129
1154,17.9657,7572,106.242,106.241749744979,38.0226072269405
1209,17.7658,19388,274.33,274.329903983045,59.960929916624
1268,17.5363,4662,106.42,106.42004939937,38.5473408705052
1285,17.4824,1097,13.026,13.026218820014,13.5656865220754
1308,17.4306,6037,91.639,91.6386857805774,37.3227935110741
1355,17.2798,10800,132.5,132.49970338479,43.2969024756378
1371,17.2247,1486,21.575,21.5745673095807,17.291135158941
1393,17.1433,3106,18.141,18.1407092299778,16.7904453330179
1398,17.1301,2411,44.323,44.3229015995748,27.0273050455654
1454,16.9673,9176,64.225,64.2254564760296,30.1545039542319
1468,16.9192,8388,65.99,65.9904580309521,33.3948584960958
1488,16.8435,4626,88.866,88.8661966740619,36.3538707953278
1493,16.832,11146,173.179,173.179256525502,48.8399286928842
1538,16.7167,4103,31.427,31.4267822455149,27.9124712912858
1568,16.6366,3504,82.02,82.0198054598877,34.3319591395249
1623,16.4525,1609,6.104,6.10409629505011,9.46692745267912
1723,16.1581,7902,167.183,167.18315501872,48.314339643267
1742,16.0869,683,30.148,30.1483504755888,27.1380824054811
1765,0,2407,32.704,32.7041425154312,21.7145699068735
1784,15.9404,5080,110.899,110.898592771962,40.5607786224897
1828,15.7902,2934,34.826,34.8255793799181,22.573382837499
1834,15.7838,3055,54.885,54.885316704982,27.9660361838701
1842,10.8117,657,10.887,10.8868685900234,18.5340507058849
1852,15.7252,1854,19.141,19.1407694851514,17.3300061886505
1854,15.7215,310,3.03,3.02959948993521,7.35174203584342
1856,15.7148,2144,20.177,20.1770017949166,17.4309919132651
1905,15.5626,290,1.415,1.41506313491846,5.08205249793248
1963,15.39,786,11.623,11.6230730953685,13.8837544075661
1969,15.3586,1933,13.662,13.6624310557963,14.7837017871005
1974,15.3323,1269,17.539,17.5394306305097,15.5911137111648
2021,14.2209,801,8.517,8.51704875504947,11.6005216047786
