"","treeID","V1","coords.x1","coords.x2","coords.x3","optional"
"513",10042,2.6614,574144.3176,300390.9888,2.6614,TRUE
"514",10046,2.6545,574110.253,300392.2216,2.6545,TRUE
"515",10048,2.6476,574097.7284,300424.0363,2.6476,TRUE
"516",10053,2.6314,574179.7642,300390.1477,2.6314,TRUE
"517",10058,2.6253,574128.4832,300265.7697,2.6253,TRUE
"518",10059,2.6233,574129.6821,300289.542,2.6233,TRUE
"519",10061,2.6163,574144.9708,300367.6457,2.6163,TRUE
"520",10074,2.5987,574079.9166,300438.5801,2.5987,TRUE
"521",10080,2.5894,574152.5825,300290.1198,2.5894,TRUE
"522",10081,2.5846,574149.3772,300364.4797,2.5846,TRUE
"523",10085,2.5816,574061.3962,300312.9831,2.5816,TRUE
"524",10090,2.5649,574098.5741,300402.1651,2.5649,TRUE
"525",10094,2.5569,574083.0495,300290.372,2.5569,TRUE
"526",10096,2.5509,574168.8585,300314.0881,2.5509,TRUE
"527",10100,2.5416,574140.0065,300266.1129,2.5416,TRUE
"528",10102,2.5362,574105.3778,300274.1392,2.5362,TRUE
"529",10103,2.5355,574162.6411,300330.3617,2.5355,TRUE
"530",10110,2.5267,574076.5953,300435.7808,2.5267,TRUE
"531",10113,2.5212,574108.8385,300436.1433,2.5212,TRUE
"532",10114,2.521,574163.6994,300377.2391,2.521,TRUE
"533",10115,2.5207,574106.7052,300438.7013,2.5207,TRUE
"534",10130,2.4898,574138.0522,300394.1339,2.4898,TRUE
"535",10134,2.4871,574128.7074,300264.6794,2.4871,TRUE
"536",10137,2.4855,574118.5164,300295.882,2.4855,TRUE
"537",10142,2.4794,574194.1934,300387.8901,2.4794,TRUE
"538",10146,2.4689,574069.7061,300419.5503,2.4689,TRUE
"539",10151,2.4613,574205.2925,300365.1769,2.4613,TRUE
"540",10155,2.4564,574144.415,300302.2611,2.4564,TRUE
"541",10175,2.4232,574115.3226,300435.786,2.4232,TRUE
"542",10186,2.4098,574165.2985,300374.2345,2.4098,TRUE
"543",10189,2.4073,574127.1854,300420.724,2.4073,TRUE
"544",10193,2.406,574109.2058,300438.8975,2.406,TRUE
"545",10200,2.397,574103.4703,300419.4887,2.397,TRUE
"546",10204,2.3902,574051.5961,300317.0178,2.3902,TRUE
"547",10210,2.3786,574145.4028,300326.7971,2.3786,TRUE
"548",10211,2.3776,574113.5533,300431.5887,2.3776,TRUE
"549",10218,2.3722,574176.7479,300337.5278,2.3722,TRUE
"550",10224,2.3624,574062.5174,300313.8009,2.3624,TRUE
"551",10228,2.3542,574146.5547,300275.6014,2.3542,TRUE
"552",10237,2.3398,574192.5362,300361.0977,2.3398,TRUE
"553",10239,2.3391,574176.6287,300384.9187,2.3391,TRUE
"554",10242,2.337,574206.949,300365.9517,2.337,TRUE
"555",10248,2.3296,574126.8363,300266.6581,2.3296,TRUE
"556",10257,2.3244,574180.4588,300388.977,2.3244,TRUE
