"TreeHeightDrone","CrownAreaDrone","CrownPerimeterDrone","AGB_mixed_drone"
39.7799,107.03544053901,39.6897353774177,10466.483293064
30.7306,102.178681603866,40.7583613469348,8171.37802751731
30.5204,174.913107776287,49.4131107826409,11257.2222550956
30.0849,33.3603249597363,23.8911700155831,3902.44042365979
30.0798,78.2617653099005,34.5413854800422,6675.14033584266
29.2186,41.7468654990662,25.165424836209,4318.99681467968
28.9518,132.105014108587,42.8398517213266,8938.3685222422
28.9067,56.8613387001678,28.074185774094,5158.64401593096
28.8703,135.80435671797,47.8685128459371,9345.75095512326
28.6343,70.0548115556594,32.4569472096429,5929.87315781992
28.3961,154.069676089101,48.3189598004089,9834.74015025792
28.0267,36.9125280847074,23.6121116372795,3837.76445963394
28.0076,187.817378275126,52.4787616190439,10993.7908602328
27.8359,59.5371177743655,30.2257742307905,5216.60651037509
27.745,112.22463938524,40.7758441232277,7812.09396452804
27.5884,34.9542809800478,22.665468639864,3637.05329450699
27.5755,72.3597128153342,34.0633880444586,5910.74237799376
27.5442,79.9157752846368,36.8334160133519,6352.610228779
27.5118,191.775144496234,52.8383744886974,10954.2917570197
27.4829,145.533881814685,46.1924534437417,9156.84519839139
27.4815,184.169291454367,50.3949606397007,10572.97820321
27.4074,46.8821155449841,26.0963790389565,4368.12376557193
27.4009,50.6786519859452,28.0819256484532,4641.57254378269
27.3985,135.852185560158,43.2574406032057,8650.51321360926
27.3929,95.6904008546844,37.7831369468728,6970.01971126889
27.3574,9.96708141014096,11.7910309582051,1584.35711968571
27.355,95.3120260871947,37.4368187676712,6928.39730152001
27.3123,42.1291490744916,25.0082352891801,4075.44380480989
27.2994,116.740730470046,41.7402489763663,7907.72777741041
27.2761,89.9654976299498,39.9122831519304,6844.00339353875
27.2643,42.5137269703555,25.9438858866959,4132.81741226359
27.2041,25.1948813451454,19.247487958717,2903.19031759705
27.156,135.130584415281,43.0414111164033,8545.90779320723
27.1417,47.8905682654586,26.0998613460412,4376.49061296188
27.1167,120.924232079182,41.4887763441635,7985.18926801552
27.0775,102.492610149187,38.5356957033348,7181.06984233562
27.0491,23.0084484398831,17.9428266753284,2702.61801606631
27.0448,70.1843842901289,31.7535759722743,5601.05246780726
27.0438,111.126730374061,39.5183850980159,7525.68738108918
27.0271,21.0603368298616,19.1195634238438,2633.49050135431
27.0188,11.3729396049748,13.000874846764,1723.31153657215
26.9989,167.47373330954,48.0742585625143,9783.51234557957
