"treeID","Z","npoints","convhull_area","area","perimeter","max_area_conifer_2","avg_area_conifer_2","max_perimeter_conifer_2","avg_perimeter_conifer_2","crown_diameter_hull_conifer_2","AGB_conifer_2"
45,22.58,4,0.275,0.275149999943096,2.80361512664993,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,2.80361512664993,202.464897991543
46,22.53,9,2.245,2.2449500001967,9.90720302009914,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,9.90720302009914,1931.80328391328
47,22.53,11,2.133,2.13325000007171,6.5264187453013,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,6.5264187453013,915.121232771399
48,22.52,5,0.313,0.31315000000177,3.13990814147417,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,3.13990814147417,246.80087983179
49,22.51,5,0.661,0.661199999856763,4.06681123859748,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,4.06681123859748,391.818364549682
50,22.51,5,0.564,0.563800000003539,4.94397879738866,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,4.94397879738866,555.798299695275
51,22.49,11,3.403,3.4031500001438,7.10320705650492,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,7.10320705650492,1061.53079846979
52,22.49,7,1.096,1.09570000012172,4.21598562597766,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,4.21598562597766,417.252086705218
53,22.48,8,1.849,1.84880000000703,6.1364481610621,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,6.1364481610621,816.309609112833
54,22.47,16,17.927,17.926649999572,24.2648138938361,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,24.2648138938361,9555.34189642373
55,22.46,9,2.106,2.10584999999264,6.12367042113252,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,6.12367042113252,811.974813402627
56,22.45,9,2.194,2.19419999996899,8.43519995486126,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,8.43519995486126,1439.31534753188
57,22.45,13,2.552,2.55240000010235,6.27137171402445,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,6.27137171402445,846.689500763109
58,22.44,10,1.781,1.7810500000196,5.82770873888303,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,5.82770873888303,741.890826433447
59,22.44,14,4.696,4.69575000030454,9.41163333309239,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,9.4116333330924,1749.68238365247
60,22.44,13,4.052,4.05234999983804,8.73409485792003,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,8.73409485792003,1530.66065653749
61,22.44,8,1.487,1.4868500000448,5.20488863867521,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,5.20488863867521,606.003806097406
63,22.43,14,3.475,3.47500000003492,7.87865926616447,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,7.87865926616447,1271.75078577923
65,22.43,15,3.618,3.61799999995856,8.70475311993335,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,8.70475311993335,1520.25494503902
67,22.42,14,3.903,3.90345000009984,8.29013610501652,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,8.29013610501652,1391.97384824575
69,22.41,8,1.936,1.9359500000719,6.52296601920902,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,6.52296601920902,905.556694613269
70,22.4,7,1.677,1.67675000004238,5.19962599393959,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,5.19962599393959,602.978722711416
71,22.4,9,2.328,2.32800000015413,7.00132614304351,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,7.00132614304351,1027.03364311095
72,22.37,8,1.702,1.70169999985956,7.47055081456658,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,7.47055081456658,1150.7242710528
73,22.37,4,0.432,0.431700000073761,3.52082801647922,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,3.52082801647922,299.339678921675
74,22.37,11,2.486,2.4864500000258,6.97878741635809,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,6.97878741635809,1018.67634441545
75,22.34,4,0.147,0.147049999999581,2.92955291904393,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,2.92955291904393,214.882599226129
76,22.34,10,2.047,2.0466000000597,5.43122747958506,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,5.43122747958506,648.775205839637
78,22.33,6,0.541,0.541450000018813,4.87016772444461,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,4.87016772444461,533.31327296635
79,22.32,8,0.916,0.91549999997369,4.54852279145363,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,4.54852279145363,471.539997337241
80,22.31,28,11.58,11.5799999999872,14.2266153629082,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,14.2266153629082,3627.72235497463
81,22.31,21,7.918,7.9183999998495,11.6056118815897,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,11.6056118815897,2519.63708428878
82,22.3,19,4.666,4.66640000022016,8.80863413605563,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,8.80863413605563,1536.80941823523
83,22.3,13,3.69,3.68980000005104,8.08432636273832,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,8.08432636273832,1318.00221060503
84,22.29,5,0.5,0.499799999961397,3.3112136092888,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,3.3112136092888,266.478436893416
86,22.26,5,0.364,0.364449999979115,2.72870157953089,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,2.72870157953089,188.017951498923
87,22.25,6,1.398,1.39820000011241,5.13743236410164,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,5.13743236410164,583.074759642387
89,22.24,20,6.838,6.83764999941923,12.9285751887234,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,12.9285751887234,3039.58937115975
90,22.23,16,2.531,2.53104999987409,9.16063610723533,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,9.16063610723533,1639.2171292866
91,22.23,5,1.1,1.09969999993336,4.19949089628912,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,4.19949089628912,405.799582389825
92,22.22,11,1.522,1.52214999997523,4.83226423262874,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,4.83226423262874,521.278158643008
