"treeID","Z","npoints","convhull_area","area","perimeter","max_area_drone","avg_area_drone","max_perimeter_drone","avg_perimeter_drone","crown_diameter_hull_drone","AGB_drone_mixed","tree_height_crown_diameter"
1,39.7799,9010,107.035,107.03544053901,39.6897353774177,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,39.6897353774177,48609.7821379714,1578.85370434014
2,30.7306,25062,102.179,102.178681603866,40.7583613469348,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,40.7583613469348,30500.5871692278,1252.52889920812
3,30.5204,16800,174.913,174.913107776287,49.4131107826409,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,49.4131107826409,44324.7101376237,1508.10790633051
4,30.0849,11534,33.36,33.3603249597363,23.8911700155831,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,23.8911700155831,9971.69644488284,718.763460801815
5,30.0798,27778,78.262,78.2617653099005,34.5413854800422,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,34.5413854800422,20936.6327842269,1038.99796696257
6,29.2186,19522,41.747,41.7468654990662,25.165424836209,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,25.165424836209,10438.8538168223,735.298482119258
7,28.9518,29401,132.105,132.105014108587,42.8398517213266,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,42.8398517213266,29903.6577173893,1240.2908190655
8,28.9067,17600,56.861,56.8613387001678,28.074185774094,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,28.074185774094,12731.9168178182,811.532065916004
9,28.8703,12038,135.804,135.80435671797,47.8685128459371,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,47.8685128459371,37178.3772041239,1381.97832641606
10,28.6343,7753,70.055,70.0548115556594,32.4569472096429,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,32.4569472096429,16727.7085900271,929.381963485079
11,28.3961,8239,154.07,154.069676089101,48.3189598004089,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,48.3189598004089,36643.747955125,1372.07001438839
12,28.0267,6263,36.913,36.9125280847074,23.6121116372795,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,23.6121116372795,8443.92219609915,661.769569224542
13,28.0076,17860,187.817,187.817378275126,52.4787616190439,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,52.4787616190439,42087.6589133593,1469.80416392154
14,27.8359,7898,59.537,59.5371177743655,30.2257742307905,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,30.2257742307905,13691.5188233625,841.361628910861
15,27.745,17372,112.225,112.22463938524,40.7758441232277,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,40.7758441232277,24850.404841022,1131.32579519895
16,27.5884,3010,34.954,34.9542809800478,22.665468639864,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,22.665468639864,7533.43541901624,625.304015024025
17,27.5755,10057,72.36,72.3597128153342,34.0633880444586,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,34.0633880444586,17089.5438566244,939.314957019969
18,27.5442,10963,79.916,79.9157752846368,36.8334160133519,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,36.8334160133519,19956.6348011973,1014.54697735497
19,27.5118,9257,191.775,191.775144496234,52.8383744886974,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,52.8383744886974,41163.3249707199,1453.67879125815
20,27.4829,17631,145.534,145.533881814685,46.1924534437417,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,46.1924534437417,31338.3308094986,1269.50257874901
21,27.4815,14295,184.169,184.169291454367,50.3949606397007,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,50.3949606397007,37338.3476958986,1384.92911081994
22,27.4074,10988,46.882,46.8821155449841,26.0963790389565,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,26.0963790389565,9873.37095225268,715.233898872296
23,27.4009,9031,50.679,50.6786519859452,28.0819256484532,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,28.0819256484532,11438.4023062393,769.470036500702
24,27.3985,21648,135.852,135.852185560158,43.2574406032057,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,43.2574406032057,27289.5203386238,1185.18898636693
25,27.3929,12271,95.69,95.6904008546844,37.7831369468728,312.970401124912,20.4277083652128,62.7467997642881,15.0887113052666,37.7831369468728,20774.3606349934,1034.98969207199
