"treeID","Z","npoints","convhull_area","area","perimeter","max_area_deciduous","avg_area_deciduous","max_perimeter_deciduous","avg_perimeter_deciduous","crown_diameter_hull_deciduous","AGB_deciduous"
1,28.84,151,58.825,58.8248499997426,30.0464557151502,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,30.0464557151502,14528.7988739725
2,26.87,18,7.064,7.06394999986514,10.7443430992853,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,10.7443430992853,1589.79942841596
3,26.65,39,15.085,15.0850500005763,19.1345214847475,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,19.1345214847475,4996.76333774964
4,26.58,121,43.994,43.9943500012159,27.4564725229414,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,27.4564725229415,10282.1155367168
5,26.52,8,0.769,0.769449999963399,3.51514115062854,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,3.51514115062854,163.341950810877
6,26.46,147,55.493,55.4934499990195,30.7408334342842,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,30.7408334342842,12791.0552748154
7,26.38,66,28.819,28.8184999999357,20.1279165344387,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,20.1279165344387,5420.4411593251
8,26.24,14,2.933,2.93345000012778,8.9582836064672,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,8.9582836064672,1051.14874929736
9,26.04,50,28.49,28.4899999992922,21.0088819492707,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,21.0088819492707,5756.30585304297
10,26.02,295,104.451,104.450849999674,38.205653573526,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,38.205653573526,19155.6968127805
11,26.01,214,117.893,117.893350001425,43.385025171589,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,43.385025171589,24723.1670802208
12,25.88,33,15.485,15.485049999319,15.5492861202066,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,15.5492861202066,3102.21343788904
13,25.84,23,4.638,4.63800000026822,9.82558350821905,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,9.82558350821905,1227.50602167085
14,25.83,32,12.755,12.7545499994885,15.0685256007482,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,15.0685256007482,2900.84363378374
15,25.8,12,2.314,2.31385000015143,7.4785379215465,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,7.4785379215465,706.390638081758
16,25.77,15,4.038,4.0377500000177,8.02767505354195,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,8.02767505354195,812.781875111217
17,25.71,81,35.426,35.4263999991817,23.0953954459163,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,23.0953954459163,6788.49598214317
18,25.69,30,6.037,6.0371499999892,9.71413362568057,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,9.71413362568057,1185.66224425645
19,25.65,50,15.529,15.5291999999899,16.7598363576866,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,16.7598363576866,3543.31186735138
20,25.65,49,21.929,21.9289499998558,19.247560808575,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,19.247560808575,4681.68951988394
21,25.6,224,45.72,45.719700000016,26.3751763259877,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,26.3751763259877,8792.54870435259
22,25.57,136,60.102,60.1018500002101,30.5575320860938,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,30.5575320860938,11796.8618972039
23,25.55,65,29.213,29.212950000423,22.2185349306483,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,22.2185349306483,6201.22483364381
24,25.48,95,29.906,29.9056999997119,21.613062436463,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,21.613062436463,5833.44110084246
25,25.44,44,7.889,7.8892999998352,11.5066577243796,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,11.5066577243796,1634.77547872519
26,25.43,168,62.585,62.5845499999123,30.4820696644311,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,30.4820696644311,11609.2764402929
27,25.35,80,60.497,60.4973499993794,33.3225790788974,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,33.3225790788974,13801.9962973931
28,25.33,65,12.626,12.6255999999121,13.9533048622281,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,13.9533048622281,2388.98847507466
29,25.31,123,43.26,43.2601499995217,27.1788095804345,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,27.1788095804345,9128.39437919368
30,25.25,196,37.65,37.6501499998849,23.8868992419486,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,23.8868992419486,7005.66303770117
31,25.23,24,9.521,9.52110000001267,12.9762231491153,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,12.9762231491153,2047.8041241576
32,25.22,62,15.272,15.2717499997234,15.19426857775,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,15.19426857775,2811.22583207002
33,25.21,121,43.369,43.3691499998095,26.281605587855,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,26.281605587855,8464.21817328811
34,25.21,133,21.943,21.9430999999749,18.0772061861492,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,18.0772061861492,3985.04213579726
35,25.16,115,76.995,76.9950000003446,35.9809165906994,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,35.9809165906993,15865.923101215
36,25.14,16,5.198,5.19770000004792,8.84556133626746,144.818750000093,3.91499175310192,47.2849395821396,7.10915230254552,8.84556133626746,940.058696165333
