"treeID","Z","npoints","convhull_area","area","perimeter","max_area_conifer_drone","avg_area_conifer_drone","max_perimeter_conifer_drone","avg_perimeter_conifer_drone","crown_diameter_hull_conifer_drone","AGB_conifer_drone"
269,23.9627,11665,168.025,168.025105863344,49.7546934140988,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,49.7546934140988,38767.689259405
338,23.0179,4655,87.249,87.2493986257105,37.064167287144,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,37.0641672871439,21295.7857310098
339,22.9438,3539,77.787,77.7873168317601,33.955768156594,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,33.955768156594,18100.6516222302
391,22.3907,3778,44.068,44.0683423255687,25.4413129430045,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,25.4413129430045,10334.86568546
400,22.2926,4348,108.399,108.399270065129,40.824379366574,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,40.824379366574,23906.8153735901
429,21.8905,1626,27.121,27.1209616247797,19.6593311333737,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,19.6593311333737,6256.24395071525
438,21.7175,5308,54.606,54.6057820692658,27.6246046793353,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,27.6246046793353,11339.0724207878
442,21.6998,5980,122.328,122.32811788877,42.2636533005354,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,42.2636533005354,24238.4428496146
448,21.6459,4704,53.499,53.498850160453,27.4693010186182,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,27.4693010186182,11159.0595019519
468,21.505,5124,138.481,138.480934966821,48.8246597137026,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,48.8246597137026,30880.0352529422
471,21.4711,7551,141.705,141.705257095949,46.0839186220998,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,46.0839186220998,27767.7429151763
480,21.4109,1399,25.547,25.5468181293691,18.6729910749584,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,18.6729910749584,5483.74610994394
493,21.277,3633,33.735,33.7346703947987,23.2612265188867,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,23.2612265188867,8035.26014570625
495,21.2729,2126,35.164,35.163956379809,23.2949972565316,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,23.2949972565316,8053.37501264734
512,21.1472,10876,209.014,209.014443465509,53.9481420202566,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,53.9481420202566,35826.8419223991
521,21.0624,5290,179.387,179.387213214766,51.5276175664761,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,51.5276175664761,32764.1374966545
523,21.0442,387,4.704,4.70438443496823,9.01418015869468,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,9.01418015869468,1443.7531863452
