treeID,Z,npoints,convhull_area,area,perimeter,crown_diameter_hull_deciduous_drone
1,39.7799,9010,107.035,107.03544053901,39.6897353774177,39.6897353774177
2,30.7306,25062,102.179,102.178681603866,40.7583613469348,40.7583613469348
3,30.5204,16800,174.913,174.913107776287,49.4131107826409,49.4131107826409
4,30.0849,11534,33.36,33.3603249597363,23.8911700155831,23.8911700155831
5,30.0798,27778,78.262,78.2617653099005,34.5413854800422,34.5413854800422
6,29.2186,19522,41.747,41.7468654990662,25.165424836209,25.165424836209
7,28.9518,29401,132.105,132.105014108587,42.8398517213266,42.8398517213266
8,28.9067,17600,56.861,56.8613387001678,28.074185774094,28.074185774094
9,28.8703,12038,135.804,135.80435671797,47.8685128459371,47.8685128459371
10,28.6343,7753,70.055,70.0548115556594,32.4569472096429,32.4569472096429
11,28.3961,8239,154.07,154.069676089101,48.3189598004089,48.3189598004089
12,28.0267,6263,36.913,36.9125280847074,23.6121116372795,23.6121116372795
13,28.0076,17860,187.817,187.817378275126,52.4787616190439,52.4787616190439
14,27.8359,7898,59.537,59.5371177743655,30.2257742307905,30.2257742307905
15,27.745,17372,112.225,112.22463938524,40.7758441232277,40.7758441232277
16,27.5884,3010,34.954,34.9542809800478,22.665468639864,22.665468639864
17,27.5755,10057,72.36,72.3597128153342,34.0633880444586,34.0633880444586
18,27.5442,10963,79.916,79.9157752846368,36.8334160133519,36.8334160133519
19,27.5118,9257,191.775,191.775144496234,52.8383744886974,52.8383744886974
20,27.4829,17631,145.534,145.533881814685,46.1924534437417,46.1924534437417
21,27.4815,14295,184.169,184.169291454367,50.3949606397007,50.3949606397007
22,27.4074,10988,46.882,46.8821155449841,26.0963790389565,26.0963790389565
23,27.4009,9031,50.679,50.6786519859452,28.0819256484532,28.0819256484532
24,27.3985,21648,135.852,135.852185560158,43.2574406032057,43.2574406032057
25,27.3929,12271,95.69,95.6904008546844,37.7831369468728,37.7831369468728
26,27.3574,1375,9.967,9.96708141014096,11.7910309582051,11.7910309582051
27,27.355,11372,95.312,95.3120260871947,37.4368187676712,37.4368187676712
28,27.3123,12507,42.129,42.1291490744916,25.0082352891801,25.0082352891801
29,27.2994,17133,116.741,116.740730470046,41.7402489763663,41.7402489763663
30,27.2761,9299,89.965,89.9654976299498,39.9122831519304,39.9122831519304
31,27.2643,3785,42.514,42.5137269703555,25.9438858866959,25.9438858866959
32,27.2041,4687,25.195,25.1948813451454,19.247487958717,19.247487958717
33,27.156,20078,135.131,135.130584415281,43.0414111164033,43.0414111164033
34,27.1417,21000,47.891,47.8905682654586,26.0998613460412,26.0998613460412
35,27.1167,6828,120.924,120.924232079182,41.4887763441635,41.4887763441635
36,27.0775,22431,102.493,102.492610149187,38.5356957033348,38.5356957033348
37,27.0491,3410,23.008,23.0084484398831,17.9428266753284,17.9428266753284
38,27.0448,10611,70.184,70.1843842901289,31.7535759722743,31.7535759722743
39,27.0438,20085,111.127,111.126730374061,39.5183850980159,39.5183850980159
40,27.0271,4576,21.06,21.0603368298616,19.1195634238438,19.1195634238438
41,27.0188,2720,11.373,11.3729396049748,13.000874846764,13.000874846764
42,26.9989,44274,167.474,167.47373330954,48.0742585625143,48.0742585625143
43,26.9939,3779,44.018,44.0181591100991,25.5641142243636,25.5641142243636
44,26.9687,17683,128.154,128.153947605751,46.9075203309559,46.9075203309559
45,26.9142,7417,28.504,28.5039981598966,20.67975403427,20.67975403427
46,26.7639,11063,48.291,48.2912405397219,29.9391465855884,29.9391465855884
47,26.7511,1728,6.094,6.09448658002657,9.54969637763703,9.54969637763703
48,26.733,6137,55.091,55.0913297352381,31.8169449906222,31.8169449906222
49,26.7316,5997,29.495,29.495466589462,21.1279104336768,21.1279104336768
50,26.7279,2404,58.501,58.5012793586066,31.7064414499963,31.7064414499963
51,26.7238,2518,22.007,22.0073214353761,18.1510898441839,18.1510898441839
52,26.6318,21231,86.258,86.2579551918898,39.100046435057,39.100046435057
53,26.6126,6280,57.959,57.959226091858,31.752481475298,31.752481475298
54,26.6036,12541,72.343,72.3427691394463,33.0400932803399,33.0400932803399
55,26.5324,13804,170.04,170.040104989894,49.470260502444,49.470260502444
56,26.5172,6065,85.502,85.5020043748082,35.1828846912985,35.1828846912985
57,26.5139,10601,59.746,59.7461856745649,30.9423893149725,30.9423893149725
58,26.5064,13921,78.995,78.9948531706177,34.5900847388406,34.5900847388406
59,26.4998,2770,18.802,18.8023757804185,17.4533200714626,17.4533200714626
60,26.4994,4597,32.341,32.3406609606172,21.3610974069989,21.3610974069989
61,26.4871,14898,49.352,49.3517801001435,26.7519383859338,26.7519383859338
62,26.4856,1782,15.222,15.2223278599558,15.6341880259471,15.6341880259471
63,26.4806,7161,52.2,52.2002416200703,27.8114580096469,27.8114580096469
64,26.4677,16748,103.205,103.204989185935,38.9261221421458,38.9261221421458
65,26.4419,4875,61.378,61.3775144598912,29.3568456483037,29.3568456483037
66,26.4096,10185,84.751,84.7509308656445,35.8902792763461,35.8902792763461
67,26.3922,2665,25.006,25.0063938400708,21.2721526424423,21.2721526424423
68,26.3353,11402,46.128,46.128423059592,27.1246266224174,27.1246266224174
69,26.3256,13115,152.568,152.567681045271,46.6548794960712,46.6548794960712
70,26.2867,4074,28.709,28.7094331806293,20.1941883144151,20.1941883144151
71,26.2804,7657,81.274,81.2742437543347,35.3920799633459,35.3920799633459
72,26.2763,8393,146.208,146.208454204345,45.3857145723061,45.3857145723061
73,26.2681,26295,120.05,120.049526000395,45.92758944917,45.92758944917
74,26.2533,29092,232.573,232.572758603026,56.550812262642,56.550812262642
75,26.2525,19324,167.516,167.516486570355,49.1378889706737,49.1378889706737
76,26.2466,3087,52.447,52.447409675573,29.9680739686935,29.9680739686935
77,26.2208,23541,153.204,153.203650386073,46.9700211599919,46.9700211599919
78,26.2073,11912,55.026,55.0255870750989,28.7129967170277,28.7129967170277
79,26.1744,11191,75.595,75.594822754967,32.2197913518994,32.2197913518994
80,26.1675,3469,27.874,27.873620045546,20.6641590983188,20.6641590983188
81,26.1617,18972,75.144,75.1438359960448,35.4370620357477,35.4370620357477
82,26.1611,5894,39.105,39.1048233300316,24.3146358129319,24.3146358129319
83,26.1292,10599,65.29,65.2896013155114,30.7773601343543,30.7773601343543
84,26.1234,6285,52.719,52.7186461442616,27.5724074606006,27.5724074606006
85,26.1199,8301,63.368,63.3679318353534,32.1779312889241,32.1779312889241
86,26.0702,16207,133.019,133.018844109029,43.6528649311831,43.6528649311831
87,25.9737,17340,118.163,118.162759114988,42.1882070390637,42.1882070390637
88,25.9723,3463,16.229,16.2293728203513,14.9891556591077,14.9891556591077
89,25.9562,5026,41.703,41.7028713398613,25.6866027221552,25.6866027221552
90,25.9497,10214,86.194,86.1938682155451,34.8650100149236,34.8650100149236
91,25.9404,9456,85.252,85.2524650199339,36.0416639492907,36.0416639492907
92,25.9261,11545,54.501,54.5005574944662,29.379335721686,29.379335721686
93,25.9168,25073,115.964,115.964436729206,41.8093425368272,41.8093425368272
94,25.9091,9308,71.183,71.182730803499,32.8571895762228,32.8571895762228
95,25.8996,6462,43.288,43.2877930194372,25.7299059757733,25.7299059757733
96,25.8922,14162,82.717,82.7173343247268,34.7268615572344,34.7268615572344
97,25.8713,5935,145.594,145.593511404353,47.2452802894939,47.2452802894939
98,25.8531,25820,238.469,238.469498041508,55.5407299545658,55.5407299545658
99,25.8354,2960,25.407,25.407309299917,19.0740599168629,19.0740599168629
100,25.8219,8853,92.536,92.5361334949266,36.2698444789179,36.2698444789179
101,25.8097,10045,139.299,139.298812945839,47.7266737320158,47.7266737320158
102,25.7944,1270,7.878,7.87785508984234,12.4361640414874,12.4361640414874
103,25.7746,5349,52.298,52.2977513105143,30.2123245354489,30.2123245354489
104,25.774,9080,27.262,27.262415154255,19.3609370110606,19.3609370110606
105,25.7635,1301,35.417,35.4169900845736,28.3512503231894,28.3512503231894
106,25.7625,4381,44.433,44.4332421047147,25.6045837727289,25.6045837727289
107,25.7424,10649,83.934,83.9341304852278,38.5236454416492,38.5236454416492
108,25.7208,3565,12.013,12.012707724818,12.8123918991071,12.8123918991071
109,25.7118,5152,33.301,33.3011082096491,22.3618352208007,22.3618352208007
110,25.705,4257,27.478,27.4780660547258,19.9191135178801,19.9191135178801
111,25.7016,10667,106.345,106.344780480955,40.954418883614,40.954418883614
112,25.6923,24735,91.558,91.5579948597588,37.0411215011901,37.04112150119
113,25.6602,7251,42.971,42.9709202299127,24.8666846550228,24.8666846550228
114,25.6454,8895,91.331,91.3312059040181,38.4704609306345,38.4704609306345
115,25.6428,4324,28.325,28.3249747348018,20.7125669778751,20.7125669778751
116,25.6343,546,3.287,3.28742658495321,7.01207037332783,7.01207037332783
117,25.6319,25375,248.127,248.127269776072,57.192336698543,57.192336698543
118,25.6182,5009,43.303,43.3028889549896,24.0886760434579,24.0886760434579
119,25.6049,4646,96.544,96.5443056400691,38.2267844497081,38.2267844497081
120,25.6044,9509,163.428,163.42762255414,50.1056344234378,50.1056344234378
121,25.6039,18409,215.358,215.357918126509,55.9109683894072,55.9109683894073
122,25.5943,5992,91.664,91.66374106484,36.603745913303,36.603745913303
123,25.5733,4507,33.456,33.4559977300232,22.3408830409323,22.3408830409324
124,25.5712,18029,88.415,88.4151188303367,35.9530268929805,35.9530268929805
125,25.5617,4786,31.903,31.9027393203869,23.5987385575888,23.5987385575888
126,25.5605,4548,35.707,35.7072972964961,24.2444209260358,24.2444209260357
127,25.5603,5395,35.414,35.4144854452461,22.6761496667109,22.6761496667109
128,25.5461,3276,101.37,101.370306595461,39.2324353644448,39.2324353644448
129,25.5206,6456,185.001,185.001036958769,53.9076009926119,53.9076009926119
130,25.5169,7623,33.405,33.4045076043694,21.8324383010709,21.8324383010709
131,25.5141,21657,185.696,185.696138823463,54.7477658699084,54.7477658699085
132,25.4613,1976,8.939,8.93919033501879,11.7306717455029,11.7306717455029
133,25.4463,21722,138.017,138.017164894845,45.4374667132566,45.4374667132566
134,25.4451,18257,73.443,73.4426112199726,33.0803295770543,33.0803295770543
135,25.442,12667,72.104,72.1035401453264,32.8821516430205,32.8821516430205
136,25.4282,17153,90.022,90.0221036998555,37.7387484186952,37.7387484186952
137,25.4154,5426,93.781,93.7813969242852,37.4440680595103,37.4440680595103
138,25.4046,4106,22.766,22.7658381146903,17.9504584069125,17.9504584069125
139,25.3954,7167,27.173,27.1731375101954,20.2796577962509,20.2796577962509
140,25.3778,7320,63.677,63.6767924248707,32.3359865246707,32.3359865246707
141,25.3744,3211,18.533,18.5328128998808,16.4806258855085,16.4806258855085
142,25.3682,12646,48.893,48.8933951393701,25.9339126173542,25.9339126173542
143,25.3621,7801,95.228,95.2282396590454,40.8344801793039,40.834480179304
144,25.359,6315,33.695,33.6952207107097,22.2015029413117,22.2015029413117
145,25.3411,8316,119.128,119.127721937606,41.7532643326728,41.7532643326728
146,25.3242,47701,204.153,204.153250840493,52.7743606173274,52.7743606173274
147,25.3145,10884,43.748,43.7477140156552,25.1394730420982,25.1394730420982
148,25.2874,3924,98.786,98.7861985041527,38.7268740222767,38.7268740222767
149,25.2781,6958,55.045,55.0450329887681,32.855477227961,32.855477227961
150,25.2755,6812,52.771,52.7712314947275,27.8646483077766,27.8646483077766
151,25.2745,13033,128.199,128.198738980107,43.7283478785618,43.7283478785618
152,25.2729,5975,53.559,53.5586680800188,28.3061473305162,28.3061473305162
153,25.2588,4204,27.713,27.7126276104245,20.077327460563,20.077327460563
154,25.2578,9640,47.992,47.992396884656,26.5560947671268,26.5560947671268
155,25.2478,5759,32.753,32.7531562295044,21.5026025851116,21.5026025851116
156,25.2435,11895,73.051,73.0513354062568,36.5623518227073,36.5623518227073
157,25.2435,11402,63.995,63.9952650747437,32.5213450539034,32.5213450539034
158,25.2426,5977,41.62,41.6199930440634,25.5720247323553,25.5720247323553
159,25.24,29553,101.885,101.884949639672,38.3153880360695,38.3153880360695
160,25.2396,6696,26.48,26.4799315747805,19.6523735660035,19.6523735660035
161,25.2337,5221,28.054,28.0544693252305,21.9945254850391,21.9945254850391
162,25.2201,14906,81.202,81.2018730503041,34.8518820919824,34.8518820919824
163,25.2185,3752,107.947,107.947323309723,40.6131032470802,40.6131032470802
164,25.2181,10419,187.561,187.560612421017,53.937346353945,53.937346353945
165,25.2131,17291,173.67,173.670310479123,48.9081026714094,48.9081026714094
166,25.2098,5498,28.414,28.4140614101198,19.7670466621525,19.7670466621525
167,25.2073,4876,28.48,28.4795547848335,22.7980742812604,22.7980742812604
168,25.1992,12555,147.161,147.161091365851,48.7812504574684,48.7812504574684
169,25.1637,12425,86.055,86.0550495343923,35.6793320427987,35.6793320427987
170,25.1304,4103,10.137,10.1366438401747,13.0574462184127,13.0574462184127
171,25.1243,1233,7.177,7.17690888996003,10.2744796409495,10.2744796409495
172,25.1181,6200,38.448,38.447559140157,24.5580742686341,24.5580742686341
173,25.1126,3841,17.873,17.8733198990813,17.4416153658044,17.4416153658044
174,25.1112,2388,48.947,48.9470576155873,30.3283713440387,30.3283713440387
175,25.0821,3197,60.985,60.985486170277,32.4570426778865,32.4570426778865
176,25.0806,16383,206.276,206.275793816196,53.7306411631218,53.7306411631218
177,25.0744,5405,79.674,79.673843009863,34.5077784501241,34.5077784501241
178,25.0692,20208,159.676,159.67583377054,50.4869785257649,50.4869785257649
179,25.0676,8185,103.271,103.270684280462,39.4801073345536,39.4801073345536
180,25.0562,11238,58.595,58.595347554714,28.605164768143,28.605164768143
181,25.0562,14352,40.999,40.998716193717,25.4574201582844,25.4574201582844
182,25.0455,8247,47.375,47.3745969354641,26.1180879849231,26.1180879849231
